"id","distribution_code","customer_code","start_latitude","start_longitude","dest_latitude","dest_longitude","total","process_at","received_at","distance","speed_average","potential_rain","duration","status","created_at"
"DS20230711","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","2","06:02:20","06:09:22","1900","46","40","7","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:09:25","06:14:10","850","42","40","5","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:15:25","06:18:23","50","38","40","3","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","2","06:22:25","06:27:40","700","40","40","5","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:27:59","06:36:23","1600","42","40","9","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","2","06:36:15","06:43:50","700","42","40","7","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:45:27","06:53:23","1900","37","40","8","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","2","06:54:31","07:07:25","2900","41","40","12","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","1","07:09:38","06:24:10","2600","41","40","15","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","07:25:30","07:29:43","550","43","40","4","200","2023-06-30T17:00:00.000000Z",""
"DS20230711","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","2","07:30:25","07:36:23","2000","40","40","6","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:05:42","06:12:42","1500","45","40","7","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","2","06:12:15","06:17:15","550","40","40","5","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:17:47","06:20:47","850","37","40","3","200","2023-06-30T17:00:00.000000Z",""
