"id","distribution_code","customer_code","start_latitude","start_longitude","dest_latitude","dest_longitude","total","process_at","received_at","distance","speed_average","potential_rain","duration","courier_last_stamp","status","created_at","updated_at"
"1","DS20230711","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","2","06:02:23","06:09:23","1900","46","40","7","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T06:03:46.000000Z"
"2","DS20230711","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:02:45","06:07:45","850","42","40","5","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T06:11:21.000000Z"
"3","DS20230711","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:04:19","06:07:19","50","38","40","3","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T06:57:33.000000Z"
"4","DS20230711","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","2","06:04:14","06:09:14","700","40","40","5","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T06:59:13.000000Z"
"5","DS20230711","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:03:57","06:12:57","1600","42","40","9","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:00:27.000000Z"
"6","DS20230711","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","2","06:03:01","06:10:01","700","42","40","7","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:02:58.000000Z"
"7","DS20230711","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:05:49","06:13:49","1900","37","40","8","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:04:55.000000Z"
"8","DS20230711","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","2","06:04:13","06:16:13","2900","41","40","12","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:08:13.000000Z"
"9","DS20230711","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","1","06:05:27","06:20:27","2600","41","40","15","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:10:36.000000Z"
"10","DS20230711","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","06:05:16","06:09:16","550","43","40","4","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:11:57.000000Z"
